Folder,Estimated DOA,Ground Truth DOA,Error (degrees)
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1m_1personnes_rep1,-29.0,90.0,119.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1m_1personnesLAB2_rep1,-46.0,90.0,136.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1.5m_1personnes_rep1,38.0,23.0,15.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1.5m_1personnesLAB2_rep1,25.0,23.0,2.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2m_1personnesv3_rep1,36.0,90.0,54.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_112_degres_4m_1personnesv2_rep1,31.0,112.0,81.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2m_1personnesLAB2_rep3,24.0,68.0,44.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_1m_1personnesv2_rep1,32.0,45.0,13.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1.5m_1personnes_rep3,25.0,68.0,43.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2m_1personnesLAB2_rep3,25.0,90.0,65.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3m_1personnesLAB2_rep3,28.0,68.0,40.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1m_1personnesv2_rep1,27.0,68.0,41.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1m_1personnesv2_rep1,35.0,23.0,12.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1m_1personnesv2_rep1,46.0,90.0,44.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_3m_1personnesv3_rep1,32.0,23.0,9.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2.5m_1personnesv2_rep1,31.0,90.0,59.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3m_1personnesv2_rep1,30.0,68.0,38.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3m_1personnesv2_rep1,37.0,90.0,53.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_4m_1personnesv2_rep1,30.0,68.0,38.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_3.5m_1personnesv2_rep1,31.0,45.0,14.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_4.5m_1personnesv2_rep1,31.0,68.0,37.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_3m_1personnesv3_rep1,32.0,45.0,13.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2.5m_1personnesv2_rep1,29.0,68.0,39.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_3.5m_1personnesv2_rep1,31.0,90.0,59.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2.5m_1personnesLAB2_rep3,25.0,90.0,65.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2m_1personnesv2_rep1,31.0,90.0,59.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3.5m_1personnesLAB2_rep3,29.0,68.0,39.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_2.5m_1personnesv2_rep1,30.0,45.0,15.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_2.5m_1personnes_rep1,38.0,23.0,15.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3.5m_1personnesv2_rep3,30.0,68.0,38.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_3m_1personnes_rep1,27.0,45.0,18.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_112_degres_4m_1personnes_rep1,32.0,112.0,80.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4m_1personnesv2_rep1,30.0,90.0,60.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_3m_1personnesv2_rep1,39.0,45.0,6.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_1m_1personnesv3_rep1,31.0,68.0,37.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4m_1personnesv3_rep1,31.0,90.0,59.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1.5m_1personnesv2_rep1,37.0,23.0,14.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_3m_1personnesv2_rep1,33.0,23.0,10.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3m_1personnesv3_rep1,33.0,68.0,35.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_4.5m_1personnes_rep1,-75.0,68.0,143.0
